	precision	recall	accuracy	f1
fra	0.9425465838509317	0.9530193236714976	0.9643887763246761	0.9477540235407159
por	0.8682821044691684	0.9848671194053794	0.938499360409338	0.9229073234284568
ita	0.8598796389167502	0.797933730454207	0.9240236787189643	0.8277493482668725
deu	1.0	0.23892335498998582	0.668841796501371	0.3856951344531188
rom	0.9048546932412872	0.8773549257759784	0.9181621954979957	0.8908926466960836
eng	1.0	0.45255247473438714	0.7838993453355155	0.6231134263388874
slv	0.9997100889060688	0.5879177085701296	0.8545534747563861	0.7404093902089895
