lang	precision	recall	accuracy	f1
nor	0.765479504655851	0.5680701004488139	0.8307364734443715	0.6521632452768464
fra	0.9230950418089742	0.9266966185859541	0.9499213217938631	0.9248923240309163
por	0.9333785122243653	0.9481571700910824	0.9550622200099552	0.9407098011400951
ita	0.8625306122448979	0.8464311463590483	0.929049927099342	0.8544050458901062
deu	0.991225737835682	0.8394505741950011	0.9263369934433999	0.9090465740063399
srp	0.9053693693693694	0.8444474321054046	0.9276611021360618	0.8738478661611769
rom	0.8852346694073313	0.9450859501541355	0.9324152205062888	0.914181744667947
eng	0.9491089205069684	0.9742784507252878	0.9689725633344575	0.9615290008363261
slv	0.9565073953923132	0.9792288207148888	0.9768254919588453	0.9677347574543836
